NAME,DEC,xs,ys,xe,ye,路段ID,sordernum,eordernum,路段长度,linktype,ramp,mylinktype,限速,speedadj,车道数,tflowmodel,上游路口ID,下游路口ID
漕宝路,漕宝路（刁勤路至钦州路）,121.4232822,31.16989306,121.4261261,31.1701272,68,8811,28,326.286,5,0,1,50,15,2,2,163,28
漕宝路,漕宝路（钦州路至漕溪路）,121.4261261,31.1701272,121.4300094,31.17029281,69,28,7,442.338,5,0,1,50,15,2,2,28,7
钦州路,钦州路（田川路至田林东路）,121.4235353,31.17865043,121.4251343,31.17579889,70,8835,85,372.622,5,0,2,40,15,2,2,187,85
桂林路,桂林路（钦州北路至吴中路）,121.4097839,31.18256417,121.4089245,31.1886318,71,89,91,693.171,5,0,1,50,15,2,2,89,91
桂林路,桂林路（田林路至宜山路）,121.4131609,31.17237817,121.4117142,31.17627573,72,83,78,465.306,5,0,1,50,15,2,2,83,78
柳州路,柳州路（田林路至宜山路）,121.4193665,31.17361073,121.4170013,31.17771293,73,84,77,533.758,5,0,2,40,15,2,2,84,77
柳州路,柳州路（钦州南路至浦北路）,121.4215658,31.16219373,121.4228745,31.16064708,74,108,109,236.808,5,0,2,40,15,2,2,108,109
柳州路,柳州路（钦州南路至冠生园路）,121.4215658,31.16219373,121.4209149,31.16512637,75,108,107,342.21,5,0,2,40,15,2,2,108,107
龙华路,龙华路（龙水北路至龙吴路）,121.4419904,31.17309106,121.4401973,31.17259423,76,8810,30,213.68,5,0,1,50,15,2,2,162,30
虹漕南路,虹漕南路（钦州南路至浦北路）,121.4092687,31.15870544,121.4107012,31.15415115,77,106,105,549.893,5,0,1,50,15,2,2,106,105
虹漕南路,虹漕南路（江安路至浦北路）,121.4120892,31.15129615,121.4107012,31.15415115,78,104,105,362.804,5,0,1,50,15,2,2,104,105
虹漕南路,虹漕南路（江安路至沪闵路）,121.4120892,31.15129615,121.4141457,31.14927833,79,104,11,335.071,5,0,1,50,15,2,2,104,11
浦北路,浦北路（桂林路至桂林西街）,121.4172495,31.15698271,121.4127713,31.15468415,80,95,8816,568.575,5,0,2,40,15,2,2,95,168
桂林路,桂林路（桂林西街北至浦北路）,121.415955,31.15869116,121.4172495,31.15698271,81,8819,95,244.527,5,0,1,50,15,2,2,171,95
钦州南路,钦州南路（虹漕南路至桂林路）,121.4092687,31.15870544,121.415522,31.16022354,82,106,93,720.51,5,0,2,40,15,2,2,106,93
桂林西街北,桂林西街北（桂林路至浦北路）,121.415955,31.15869116,121.4127713,31.15468415,83,8819,8816,762.053,5,0,3,30,15,2,2,171,168
桂林路,桂林路（钦州南路至桂林西街北）,121.415522,31.16022354,121.415955,31.15869116,84,93,8819,188.455,5,0,1,50,15,2,2,93,171
桂林路,桂林路（桂林西街南至沪闵路）,121.4182774,31.15571208,121.4194376,31.15426093,85,94,10,211.694,5,0,1,50,15,2,2,94,10
桂林路,桂林路（浦北路至桂林西街北）,121.4172495,31.15698271,121.415955,31.15869116,86,95,8819,242.284,5,0,1,50,15,2,2,95,171
浦北路,浦北路（桂林东街至桂林路）,121.4208996,31.15910995,121.4172495,31.15698271,87,8818,95,479.728,5,0,2,40,15,2,2,170,95
浦北路,浦北路（桂林路至桂林东街）,121.4172495,31.15698271,121.4208996,31.15910995,88,95,8818,475.279,5,0,2,40,15,2,2,95,170
桂林路,桂林路（浦北路至桂林西街南）,121.4172495,31.15698271,121.4182774,31.15571208,89,95,94,186.202,5,0,1,50,15,2,2,95,94
桂林路,桂林路（康健路至冠生园路）,121.4144807,31.16644364,121.4147663,31.16467332,90,8817,92,205.735,5,0,1,50,15,2,2,169,92
冠生园路,冠生园路（柳州路至桂林路）,121.4209149,31.16512637,121.4147663,31.16467332,91,107,92,696.922,5,0,2,40,15,2,2,107,92
虹漕南路,虹漕南路（浦北路至钦州南路）,121.4107012,31.15415115,121.4092687,31.15870544,92,105,106,543.479,5,0,1,50,15,2,2,105,106
浦北路,浦北路（虹漕南路至桂林西街）,121.4107012,31.15415115,121.4127713,31.15468415,93,105,8816,242.981,5,0,2,40,15,2,2,105,168
浦北路,浦北路（桂林西街至虹漕南路）,121.4127713,31.15468415,121.4107012,31.15415115,94,8816,105,249.63,5,0,2,40,15,2,2,168,105
宜山路,宜山路（柳州路至桂林路）,121.4170013,31.17771293,121.4117142,31.17627573,95,77,78,623.31,5,0,1,50,15,2,2,77,78
宜山路,宜山路（宜山道口至钦州路）,121.4189001,31.17915964,121.4202003,31.18107939,96,8833,76,280.436,5,0,1,50,15,2,2,185,76
桂林路,桂林路（宜山路至田林路）,121.4117142,31.17627573,121.4131609,31.17237817,97,78,83,467.009,5,0,1,50,15,2,2,78,83
柳州路,柳州路（宜山路至田林路）,121.4170013,31.17771293,121.4193665,31.17361073,98,77,84,532.942,5,0,2,40,15,2,2,77,84
